Rank,Company,City,Size,Industry,Stack_Match,Hiring_Potential,Priority,Best_Project_To_Pitch,Target_Role,Website,LinkedIn_Search
1,Expensya,Tunis,200-500,Fintech / Enterprise SaaS,React Node.js TypeScript Mobile SQL,High,🔥 TOP TARGET,Football Manager / QuizApp,Junior Full-Stack Developer,https://expensya.com,https://linkedin.com/company/expensya
2,Kaoun / Flouci,Tunis,20-50,Fintech Super-App / Neobank,Flutter React Node.js WebSockets PostgreSQL,High,🔥 TOP TARGET,KabaadHub / Caredify,Junior Flutter Developer,https://flouci.com,https://linkedin.com/company/kaoun
3,Wattnow,Tunis,20-50,IoT / Cleantech / Energy,IoT Python Node.js React BLE Time-Series,High,🔥 TOP TARGET,Caredify BLE Telemetry,Junior IoT / Full-Stack,https://wattnow.io,https://linkedin.com/company/wattnow
4,Proxym Group (Proxym-IT),Sousse & Tunis,200-500,Digital Services / Mobile Hub,Flutter Android Java Kotlin React Node.js,High,🔥 TOP TARGET,KabaadHub / Football Manager,Junior Mobile Engineer (Flutter),https://proxym-group.com,https://linkedin.com/company/proxym-group
5,Cynoia,Tunis,10-30,Enterprise SaaS / Collaboration,React Next.js Node.js WebSockets TypeScript,High,🔥 TOP TARGET,QuizApp Arena / Football Manager,Junior Full-Stack Developer,https://cynoia.com,https://linkedin.com/company/cynoia
6,Satoripop,Sousse & Tunis,100-250,Digital Agency / Custom Software,Flutter React Next.js Node.js Python,High,🔥 TOP TARGET,KabaadHub / Mkarchi,Junior Mobile Developer,https://satoripop.com,https://linkedin.com/company/satoripop
7,Fabskill,Tunis,20-50,HRTech / AI Video Recruitment,React Next.js Node.js Python TypeScript,High,🔥 TOP TARGET,QuizApp / Mkarchi,Junior Full-Stack Developer,https://fabskill.com,https://linkedin.com/company/fabskill
8,Focus Corporation,Ariana & Tunis,500-1000,Software Engineering / Embedded,Java Kotlin C++ Python Mobile Android Cloud,High,🔥 TOP TARGET,Anti-Scroll / Restaurant Management,Junior Software Engineer,https://focus-corporation.com,https://linkedin.com/company/focus-corporation
9,Wevioo,Tunis,300-600,Nearshore Digital & IoT,IoT Java Node.js React Mobile Cloud,High,🔥 TOP TARGET,Caredify / KabaadHub,Junior Full-Stack / IoT,https://wevioo.com,https://linkedin.com/company/wevioo
10,Dedagroup Tunisia,Tunis,100-250,Banking & Digital Nearshore (IT),Java React Node.js SQL Spring Boot,High,🔥 TOP TARGET,Football Manager / Restaurant Management,Junior Full-Stack Developer,https://dedagroup.it,https://linkedin.com/company/dedagroup
